"No.","Time","Source","Destination","Protocol","Length","Info"
"349","59.757011","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=607 Ack=34966 Win=516 Len=0"
"352","60.431441","10.0.0.6","157.240.195.54","TCP","100","56478  >  5222 [PSH, ACK] Seq=607 Ack=34966 Win=516 Len=46 [TCP segment of a reassembled PDU]"
"353","60.487003","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=34966 Ack=653 Win=3489 Len=0"
"369","69.836743","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=34966 Ack=653 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"370","69.841151","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=36358 Ack=653 Win=3489 Len=99 [TCP segment of a reassembled PDU]"
"371","69.841151","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=36457 Ack=653 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"372","69.841151","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=37849 Ack=653 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"373","69.841405","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=653 Ack=37957 Win=516 Len=0"
"374","69.841631","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=37957 Ack=653 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"375","69.841631","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=39349 Ack=653 Win=3489 Len=108 [TCP segment of a reassembled PDU]"
"376","69.841631","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=39457 Ack=653 Win=3489 Len=1392 [TCP segment of a reassembled PDU]"
"377","69.841631","157.240.195.54","10.0.0.6","TCP","315","5222  >  56478 [PSH, ACK] Seq=40849 Ack=653 Win=3489 Len=261 [TCP segment of a reassembled PDU]"
"378","69.841631","157.240.195.54","10.0.0.6","TCP","710","5222  >  56478 [PSH, ACK] Seq=41110 Ack=653 Win=3489 Len=656 [TCP segment of a reassembled PDU]"
"379","69.841818","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=653 Ack=41766 Win=516 Len=0"
"380","69.860973","10.0.0.6","157.240.195.54","TCP","115","56478  >  5222 [PSH, ACK] Seq=653 Ack=41766 Win=516 Len=61 [TCP segment of a reassembled PDU]"
"381","69.913937","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=41766 Ack=714 Win=3489 Len=0"
